id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation,id_gene_HS,id_gene_MM,id_gene_DM,gene_HS,gene_MM,gene_DM
3BA3V,9606.ENSP00000358698,10090.ENSMUSP00000112448,"7227.FBpp0074394,7227.FBpp0087596",frizzled binding,ENSG00000134245,ENSMUSG00000030170,"FBgn0010194,FBgn0004360",WNT2B,Wnt5b,"Wnt5,Wnt2"
3BA41,9606.ENSP00000418693,10090.ENSMUSP00000049168,7227.FBpp0087616,Protein of unknown function (DUF1115),ENSG00000156253,ENSMUSG00000041079,FBgn0050338,RWDD2B,Rwdd2b,CG30338
3BA42,9606.ENSP00000325748,10090.ENSMUSP00000027498,7227.FBpp0082840,serine threonine-protein kinase,ENSG00000115694,ENSMUSG00000026277,FBgn0266465,STK25,Stk25,GckIII
3BA46,"9606.ENSP00000295736,9606.ENSP00000405812",10090.ENSMUSP00000023776,"7227.FBpp0076048,7227.FBpp0288814",sodium:bicarbonate symporter activity,"ENSG00000033867,ENSG00000050438",ENSMUSG00000023032,"FBgn0036043,FBgn0259111","SLC4A7,SLC4A8",Slc4a8,"CG8177,Ndae1"
3BA4R,9606.ENSP00000338777,10090.ENSMUSP00000075082,7227.FBpp0072061,anterograde synaptic vesicle transport,ENSG00000157823,ENSMUSG00000063801,FBgn0003008,AP3S2,Ap3s2,or
3BA50,9606.ENSP00000290158,10090.ENSMUSP00000001479,7227.FBpp0294035,importin,ENSG00000108424,ENSMUSG00000001440,FBgn0262743,KPNB1,Kpnb1,Fs(2)Ket
3BA59,"9606.ENSP00000261889,9606.ENSP00000368831",10090.ENSMUSP00000034946,7227.FBpp0077206,sorting nexin,"ENSG00000028528,ENSG00000205302",ENSMUSG00000032382,FBgn0031534,"SNX1,SNX2",Snx1,Snx1
3BA5F,9606.ENSP00000369810,10090.ENSMUSP00000028900,7227.FBpp0081459,Vacuolar protein sorting-associated protein 16 homolog,ENSG00000215305,ENSMUSG00000027411,FBgn0285911,VPS16,Vps16,Vps16A
3BA62,9606.ENSP00000468304,"10090.ENSMUSP00000023029,10090.ENSMUSP00000103486",7227.FBpp0288419,MBT domain-containing protein 1,ENSG00000011258,"ENSMUSG00000022394,ENSMUSG00000059474",FBgn0032475,MBTD1,"L3mbtl2,Mbtd1",Sfmbt
3BA6A,9606.ENSP00000337445,10090.ENSMUSP00000071788,7227.FBpp0087449,"mitochondrial tRNA 3'-trailer cleavage, endonucleolytic",ENSG00000006744,ENSMUSG00000020549,FBgn0028426,ELAC2,Elac2,RNaseZ
3BA6D,9606.ENSP00000379457,10090.ENSMUSP00000099785,7227.FBpp0086398,cytoplasmic sequestering of NF-kappaB,ENSG00000185104,ENSMUSG00000010517,FBgn0034068,FAF1,Faf1,casp
3BA6H,9606.ENSP00000418803,10090.ENSMUSP00000002925,7227.FBpp0082370,Tim17/Tim22/Tim23/Pmp24 family,ENSG00000113845,ENSMUSG00000002846,FBgn0010340,TIMMDC1,Timmdc1,140up
3BA6S,9606.ENSP00000362306,"10090.ENSMUSP00000042207,10090.ENSMUSP00000081312",7227.FBpp0294043,"endoribonuclease activity, cleaving siRNA-paired mRNA",ENSG00000134698,"ENSMUSG00000036698,ENSMUSG00000042500",FBgn0262739,AGO4,"Ago2,Ago4",AGO1
3BA72,9606.ENSP00000400252,10090.ENSMUSP00000065787,"7227.FBpp0071062,7227.FBpp0080100",outer dynein arm assembly,ENSG00000171595,ENSMUSG00000034706,"FBgn0029993,FBgn0032520",DNAI2,Dnaic2,"CG1571,CG10859"
3BA7C,9606.ENSP00000321971,"10090.ENSMUSP00000017831,10090.ENSMUSP00000044639",7227.FBpp0302814,Mitochondrial GTPase involved in mitochondrial trafficking,ENSG00000140983,"ENSMUSG00000017686,ENSMUSG00000025733",FBgn0039140,RHOT2,"Rhot1,Rhot2",Miro
3BA7S,9606.ENSP00000035383,"10090.ENSMUSP00000002603,10090.ENSMUSP00000109048","7227.FBpp0086538,7227.FBpp0300852",neurotransmitter receptor transport postsynaptic membrane to endosome,ENSG00000033122,"ENSMUSG00000022568,ENSMUSG00000032352","FBgn0033984,FBgn0263289",LRRC7,"Scrib,Lrrc1","Lap1,scrib"
3BA81,"9606.ENSP00000346694,9606.ENSP00000350090",10090.ENSMUSP00000110103,"7227.FBpp0082318,7227.FBpp0084463,7227.FBpp0084669,7227.FBpp0302741",mRNA transport,"ENSG00000122566,ENSG00000139675",ENSMUSG00000004980,"FBgn0010258,FBgn0004903,FBgn0001215,FBgn0004237","HNRNPA2B1,HNRNPA1L2",Hnrnpa2b1,"Rbp4,Rb97D,Hrb98DE,Hrb87F"
3BA84,9606.ENSP00000440246,10090.ENSMUSP00000032856,"7227.FBpp0082129,7227.FBpp0086304,7227.FBpp0290922",Malic enzyme,ENSG00000151376,ENSMUSG00000030621,"FBgn0002719,FBgn0034127,FBgn0029155",ME3,Me3,"Men,CG7848,Men-b"
3BA8E,9606.ENSP00000377782,10090.ENSMUSP00000088678,7227.FBpp0099825,sequence-specific DNA binding,ENSG00000109381,ENSMUSG00000037174,FBgn0000567,ELF2,Elf2,Eip74EF
3BA8P,9606.ENSP00000295899,10090.ENSMUSP00000065819,7227.FBpp0072425,mRNA-containing ribonucleoprotein complex export from nucleus,ENSG00000163634,ENSMUSG00000053453,FBgn0035110,THOC7,Thoc7,thoc7
3BA9A,"9606.ENSP00000282869,9606.ENSP00000308578,9606.ENSP00000309330,9606.ENSP00000332595,9606.ENSP00000335042,9606.ENSP00000342002,9606.ENSP00000344828,9606.ENSP00000351391,9606.ENSP00000376110,9606.ENSP00000380999,9606.ENSP00000400852,9606.ENSP00000413660,9606.ENSP00000423820,9606.ENSP00000428878,9606.ENSP00000437616,9606.ENSP00000464976,9606.ENSP00000469958,9606.ENSP00000471000,9606.ENSP00000471754,9606.ENSP00000472969,9606.ENSP00000480218,9606.ENSP00000485448","10090.ENSMUSP00000012873,10090.ENSMUSP00000032802,10090.ENSMUSP00000044020,10090.ENSMUSP00000045684,10090.ENSMUSP00000047222,10090.ENSMUSP00000049650,10090.ENSMUSP00000065620,10090.ENSMUSP00000071695,10090.ENSMUSP00000074475,10090.ENSMUSP00000076700,10090.ENSMUSP00000081167,10090.ENSMUSP00000083459,10090.ENSMUSP00000086074,10090.ENSMUSP00000086191,10090.ENSMUSP00000096108,10090.ENSMUSP00000099083,10090.ENSMUSP00000100043,10090.ENSMUSP00000101359,10090.ENSMUSP00000101361,10090.ENSMUSP00000104820,10090.ENSMUSP00000105357,10090.ENSMUSP00000112546,10090.ENSMUSP00000124075,10090.ENSMUSP00000127760,10090.ENSMUSP00000133899","7227.FBpp0070991,7227.FBpp0071106,7227.FBpp0071108,7227.FBpp0075533,7227.FBpp0076707,7227.FBpp0076724,7227.FBpp0076725,7227.FBpp0079702,7227.FBpp0079845,7227.FBpp0081555,7227.FBpp0081919,7227.FBpp0082061,7227.FBpp0083307,7227.FBpp0086646,7227.FBpp0087421,7227.FBpp0112062,7227.FBpp0113116,7227.FBpp0289911,7227.FBpp0289959",nucleic acid binding,"ENSG00000152926,ENSG00000196705,ENSG00000173041,ENSG00000146757,ENSG00000256229,ENSG00000184635,ENSG00000181450,ENSG00000196381,ENSG00000196268,ENSG00000196605,ENSG00000234444,ENSG00000229676,ENSG00000196670,ENSG00000182903,ENSG00000213020,ENSG00000267041,ENSG00000188171,ENSG00000204611,ENSG00000198464,ENSG00000213973,ENSG00000160336,ENSG00000214652","ENSMUSG00000058093,ENSMUSG00000046185,ENSMUSG00000060301,ENSMUSG00000023892,ENSMUSG00000055480,ENSMUSG00000057396,ENSMUSG00000045519,ENSMUSG00000063488,ENSMUSG00000063281,ENSMUSG00000098905,ENSMUSG00000067916,ENSMUSG00000066829,ENSMUSG00000059142,ENSMUSG00000067942,ENSMUSG00000074165,ENSMUSG00000074865,ENSMUSG00000006720,ENSMUSG00000070605,ENSMUSG00000056300,ENSMUSG00000046311,ENSMUSG00000057842,ENSMUSG00000051037,ENSMUSG00000063108,ENSMUSG00000091474,ENSMUSG00000092416","FBgn0029928,FBgn0030008,FBgn0030010,FBgn0025874,FBgn0035691,FBgn0022935,FBgn0022699,FBgn0032295,FBgn0020309,FBgn0037722,FBgn0037931,FBgn0038047,FBgn0038787,FBgn0033934,FBgn0033491,FBgn0035690,FBgn0031144,FBgn0039329,FBgn0028647","ZNF117,ZNF431,ZNF680,ZNF92,ZNF486,ZNF93,ZNF678,ZNF781,ZNF493,ZNF846,ZNF736,ZNF492,ZFP62,ZNF721,ZNF611,ZNF850,ZNF626,ZNF616,ZNF480,ZNF99,ZNF761,ZNF727","Zfp729b,Zfp84,2610008E11Rik,Zfp51,Zfp458,Zfp759,Zfp560,Zkscan7,Zfp35,Zfp953,Zfp991,Zfp810,Zfp945,Zfp160,Zfp788,Zfp934,Zfp184,Zfp992,Zfp981,Zfp62,Zfp595,Zfp455,Zfp26,2610021A01Rik,Zfp141","CG3032,CG2129,CG10959,Meics,CG7386,D19A,D19B,CG12299,crol,CG8319,CG18476,CG5245,CG4360,CG17385,CG18011,CG10274,CG1529,CG10669,CG11902"
3BA9I,9606.ENSP00000270586,10090.ENSMUSP00000018430,7227.FBpp0086400,threonine-type endopeptidase activity,ENSG00000142507,ENSMUSG00000018286,FBgn0010590,PSMB6,Psmb6,Prosbeta1
3BA9R,9606.ENSP00000361266,"10090.ENSMUSP00000021921,10090.ENSMUSP00000030443",7227.FBpp0088443,hedgehog receptor activity,ENSG00000117425,"ENSMUSG00000021466,ENSMUSG00000028681",FBgn0003892,PTCH2,"Ptch1,Ptch2",ptc
3BA9V,9606.ENSP00000005340,"10090.ENSMUSP00000019362,10090.ENSMUSP00000030948",7227.FBpp0073310,planar cell polarity pathway involved in neural tube closure,ENSG00000004975,"ENSMUSG00000020888,ENSMUSG00000029071",FBgn0000499,DVL2,"Dvl2,Dvl1",dsh
3BA9Y,9606.ENSP00000261879,10090.ENSMUSP00000130359,7227.FBpp0077400,Notch receptor processing,ENSG00000138613,ENSMUSG00000053040,FBgn0031458,APH1B,Aph1c,aph-1
3BAAJ,9606.ENSP00000247191,10090.ENSMUSP00000040416,7227.FBpp0290601,cell cycle,ENSG00000126787,ENSMUSG00000037544,FBgn0033845,DLGAP5,Dlgap5,mars
3BAAP,9606.ENSP00000334553,10090.ENSMUSP00000023455,7227.FBpp0086323,ubiquitin-ubiquitin ligase activity,ENSG00000100023,ENSMUSG00000022771,FBgn0034109,PPIL2,Ppil2,CG7747
3BAAR,9606.ENSP00000261693,10090.ENSMUSP00000031377,7227.FBpp0072308,Belongs to the CD36 family,ENSG00000073060,ENSMUSG00000029426,FBgn0010435,SCARB1,Scarb2,emp
3BAAV,"9606.ENSP00000366641,9606.ENSP00000445929",10090.ENSMUSP00000032476,7227.FBpp0305687,hexose transmembrane transporter activity,"ENSG00000142583,ENSG00000173262",ENSMUSG00000003153,FBgn0264574,"SLC2A5,SLC2A14",Slc2a3,Glut1
3BAB7,9606.ENSP00000446215,10090.ENSMUSP00000031383,"7227.FBpp0073328,7227.FBpp0075369",snRNA import into nucleus,ENSG00000132341,ENSMUSG00000029430,"FBgn0020255,FBgn0036497",RAN,Ran,"Ran,Ran-like"
3BABJ,9606.ENSP00000296255,10090.ENSMUSP00000032143,7227.FBpp0304506,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,ENSG00000163902,ENSMUSG00000030062,FBgn0053303,RPN1,Rpn1,CG33303
3BABN,9606.ENSP00000299697,10090.ENSMUSP00000053616,7227.FBpp0302815,thymidine kinase activity,ENSG00000166548,ENSMUSG00000035824,FBgn0022338,TK2,Tk2,dnk
3BABV,9606.ENSP00000265069,10090.ENSMUSP00000113913,7227.FBpp0305489,zinc ion binding,ENSG00000056097,ENSMUSG00000034949,FBgn0263603,ZFR,Zfr2,Zn72D
3BACR,9606.ENSP00000264161,10090.ENSMUSP00000027602,7227.FBpp0305104,Aspartyl-tRNA synthetase,ENSG00000115866,ENSMUSG00000026356,FBgn0002069,DARS,Dars,AspRS
3BADB,9606.ENSP00000465992,"10090.ENSMUSP00000021311,10090.ENSMUSP00000028527,10090.ENSMUSP00000081398","7227.FBpp0076227,7227.FBpp0089282",tubulin-dependent ATPase activity,ENSG00000186185,"ENSMUSG00000051378,ENSMUSG00000027115,ENSMUSG00000010021","FBgn0004379,FBgn0038205",KIF18B,"Kif18b,Kif18a,Kif19a","Klp67A,Kif19A"
3BADT,9606.ENSP00000264230,10090.ENSMUSP00000045948,7227.FBpp0085924,Nitric oxide associated 1,ENSG00000084092,ENSMUSG00000036285,FBgn0034307,NOA1,Noa1,CG10914
3BADZ,9606.ENSP00000361043,"10090.ENSMUSP00000066977,10090.ENSMUSP00000099765",7227.FBpp0077357,DNA synthesis involved in double-strand break repair via homologous recombination,ENSG00000085999,"ENSMUSG00000078773,ENSMUSG00000028702",FBgn0002989,RAD54L,"Rad54b,Rad54l",okr
3BAE3,9606.ENSP00000371221,10090.ENSMUSP00000022563,7227.FBpp0071938,Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily,ENSG00000139505,ENSMUSG00000021987,FBgn0028497,MTMR6,Mtmr6,CG3530
3BAEQ,9606.ENSP00000291295,"10090.ENSMUSP00000019514,10090.ENSMUSP00000048857,10090.ENSMUSP00000105709","7227.FBpp0077183,7227.FBpp0077184,7227.FBpp0084276,7227.FBpp0087929,7227.FBpp0087930,7227.FBpp0293502",calcium ion binding,ENSG00000160014,"ENSMUSG00000019370,ENSMUSG00000036438,ENSMUSG00000001175","FBgn0051960,FBgn0051958,FBgn0039373,FBgn0033238,FBgn0050378,FBgn0000253",CALM3,"Calm3,Calm2,Calm1","CG31960,CR31958,CG5024,azot,CG30378,Cam"
3BAEU,9606.ENSP00000384545,10090.ENSMUSP00000026093,7227.FBpp0297318,ubiquitin protein ligase binding,ENSG00000132640,ENSMUSG00000025103,FBgn0262871,BTBD3,Btbd1,lute
3BAF1,"9606.ENSP00000314544,9606.ENSP00000325681",10090.ENSMUSP00000031621,7227.FBpp0073036,vesicle-mediated transport,"ENSG00000146574,ENSG00000122674",ENSMUSG00000029617,FBgn0035470,"CCZ1B,CCZ1",Ccz1,Ccz1
3BAFB,9606.ENSP00000365837,10090.ENSMUSP00000083844,7227.FBpp0291529,tRNA pseudouridine synthase activity,ENSG00000177192,ENSMUSG00000029507,FBgn0038811,PUS1,Pus1,Pus1
3BAFZ,"9606.ENSP00000364000,9606.ENSP00000379866",10090.ENSMUSP00000023123,"7227.FBpp0078641,7227.FBpp0305720",collagen,"ENSG00000204262,ENSG00000081052",ENSMUSG00000022483,"FBgn0000299,FBgn0016075","COL5A2,COL4A4",Col2a1,"Col4a1,vkg"
3BAG1,9606.ENSP00000384610,10090.ENSMUSP00000044078,7227.FBpp0071077,lysophospholipase activity,ENSG00000130653,ENSMUSG00000036833,FBgn0003656,PNPLA7,Pnpla7,sws
3BAGW,9606.ENSP00000319739,10090.ENSMUSP00000109915,7227.FBpp0291121,calcium ion binding,ENSG00000117906,ENSMUSG00000032320,FBgn0031673,RCN2,Rcn2,CG31650
3BAGZ,9606.ENSP00000360645,10090.ENSMUSP00000036996,7227.FBpp0084785,trimming of terminal mannose on B branch,ENSG00000177239,ENSMUSG00000036646,FBgn0039634,MAN1B1,Man1b1,alpha-Man-Ib
3BAH0,"9606.ENSP00000295902,9606.ENSP00000345064",10090.ENSMUSP00000104878,7227.FBpp0088115,regulation of cardiac muscle cell myoblast differentiation,"ENSG00000163637,ENSG00000139174",ENSMUSG00000036158,FBgn0003090,"PRICKLE2,PRICKLE1",Prickle1,pk
3BAHV,9606.ENSP00000326699,10090.ENSMUSP00000105457,"7227.FBpp0073467,7227.FBpp0074074,7227.FBpp0110208",unfolded protein binding,ENSG00000153132,ENSMUSG00000002190,"FBgn0030377,FBgn0264077,FBgn0015622",CLGN,Clgn,"CG1924,Cnx14D,Cnx99A"
3BAIT,"9606.ENSP00000264917,9606.ENSP00000311453",10090.ENSMUSP00000026672,7227.FBpp0291341,"3',5'-cyclic-AMP phosphodiesterase activity","ENSG00000113231,ENSG00000073417",ENSMUSG00000025584,FBgn0266377,"PDE8B,PDE8A",Pde8a,Pde8
3BAK0,9606.ENSP00000275732,10090.ENSMUSP00000031727,7227.FBpp0290107,insulin-like growth factor receptor signaling pathway,ENSG00000146830,ENSMUSG00000029714,FBgn0039936,GIGYF1,Gigyf1,Gyf
3BAKC,9606.ENSP00000436901,10090.ENSMUSP00000136280,7227.FBpp0085418,metal ion binding,ENSG00000133884,ENSMUSG00000021221,FBgn0033015,DPF2,Dpf3,d4
3BAKF,9606.ENSP00000261797,10090.ENSMUSP00000118207,7227.FBpp0076677,[heparan sulfate]-glucosamine N-sulfotransferase activity,ENSG00000070614,ENSMUSG00000027977,FBgn0020251,NDST1,Ndst3,sfl
3BAM8,9606.ENSP00000387303,10090.ENSMUSP00000078022,7227.FBpp0082637,ATP-dependent RNA helicase,ENSG00000156414,ENSMUSG00000054003,FBgn0003483,TDRD9,Tdrd9,spn-E
3BAMI,9606.ENSP00000231668,10090.ENSMUSP00000015725,7227.FBpp0078315,Vesicle transport protein,ENSG00000113734,ENSMUSG00000024191,FBgn0037383,BNIP1,Bnip1,CG2023
3BAMQ,9606.ENSP00000446252,10090.ENSMUSP00000007012,7227.FBpp0086226,age-dependent response to reactive oxygen species,ENSG00000112096,ENSMUSG00000006818,FBgn0010213,SOD2,Sod2,Sod2
3BAMT,9606.ENSP00000257287,10090.ENSMUSP00000112602,7227.FBpp0292437,centriole-centriole cohesion,ENSG00000174799,ENSMUSG00000036403,FBgn0036480,CEP135,Cep135,Cep135
3BAN3,9606.ENSP00000249442,10090.ENSMUSP00000028511,"7227.FBpp0073816,7227.FBpp0074684",protein targeting to mitochondrion,ENSG00000128654,ENSMUSG00000027099,"FBgn0030620,FBgn0036920",MTX2,Mtx2,"CG5662,CG8004"
3BAN4,9606.ENSP00000229268,10090.ENSMUSP00000041299,7227.FBpp0072976,Ubiquitin carboxyl-terminal hydrolase,ENSG00000111667,ENSMUSG00000038429,FBgn0035402,USP5,Usp5,Usp5
3BANS,9606.ENSP00000268717,10090.ENSMUSP00000019517,7227.FBpp0077927,protein deneddylation,ENSG00000141030,ENSMUSG00000019373,FBgn0027055,COPS3,Cops3,CSN3
3BANZ,9606.ENSP00000294785,10090.ENSMUSP00000003550,7227.FBpp0291079,Notch receptor processing,ENSG00000162736,ENSMUSG00000003458,FBgn0039234,NCSTN,Ncstn,Nct
3BAP0,9606.ENSP00000013125,10090.ENSMUSP00000082995,7227.FBpp0085692,MAP kinase kinase kinase kinase activity,ENSG00000012983,ENSMUSG00000037337,FBgn0263395,MAP4K5,Map4k1,hppy
3BAPH,9606.ENSP00000362068,10090.ENSMUSP00000063201,7227.FBpp0074288,protein heterodimerization activity,ENSG00000137413,ENSMUSG00000023980,FBgn0022724,TAF8,Taf8,Taf8
3BAPP,9606.ENSP00000293872,"10090.ENSMUSP00000055254,10090.ENSMUSP00000110627",7227.FBpp0304226,RNA-binding protein Luc7-like,ENSG00000007392,"ENSMUSG00000029823,ENSMUSG00000024188",FBgn0036734,LUC7L,"Luc7l2,Luc7l",CG7564
3BAQV,9606.ENSP00000387362,10090.ENSMUSP00000113346,7227.FBpp0078927,Ubiquitin conjugation factor E4,ENSG00000110344,ENSMUSG00000059890,FBgn0028467,UBE4A,Ube4a,CG11070
3BAR7,9606.ENSP00000223321,10090.ENSMUSP00000129767,7227.FBpp0082062,threonine-type endopeptidase activity,ENSG00000106588,ENSMUSG00000015671,FBgn0086134,PSMA2,Psma2,Prosalpha2
3BARG,9606.ENSP00000367755,10090.ENSMUSP00000092811,7227.FBpp0080901,calmodulin-lysine N-methyltransferase activity,ENSG00000143919,ENSMUSG00000071037,FBgn0032857,CAMKMT,Camkmt,CG10947
3BARP,9606.ENSP00000378165,10090.ENSMUSP00000054168,7227.FBpp0302976,mitotic spindle assembly,ENSG00000010244,ENSMUSG00000017421,FBgn0032600,ZNF207,Zfp207,BuGZ
3BARS,9606.ENSP00000480186,10090.ENSMUSP00000099986,7227.FBpp0072658,DNA polymerase delta,ENSG00000106628,ENSMUSG00000020471,FBgn0027903,POLD2,Pold2,CG12018
3BARU,9606.ENSP00000216039,10090.ENSMUSP00000048415,7227.FBpp0070860,thiol-dependent ubiquitin-specific protease activity,ENSG00000100221,ENSMUSG00000038695,FBgn0029853,JOSD1,Josd2,CG3781
3BAS7,9606.ENSP00000313854,10090.ENSMUSP00000022102,7227.FBpp0073557,Cleft lip and palate transmembrane protein 1-like protein,ENSG00000049656,ENSMUSG00000021610,FBgn0030456,CLPTM1L,Clptm1l,CG4332
3BAS8,"9606.ENSP00000360806,9606.ENSP00000434241",10090.ENSMUSP00000089814,"7227.FBpp0288427,7227.FBpp0300390,7227.FBpp0306030",voltage-gated potassium channel activity,"ENSG00000158445,ENSG00000131398",ENSMUSG00000035681,"FBgn0003386,FBgn0085395,FBgn0262593","KCNB1,KCNC3",Kcnc2,"Shaw,Shawl,Shab"
3BASD,9606.ENSP00000386741,"10090.ENSMUSP00000035908,10090.ENSMUSP00000107655",7227.FBpp0070751,phorbol ester receptor activity,ENSG00000128656,"ENSMUSG00000004633,ENSMUSG00000056486",FBgn0029778,CHN1,"Chn2,Chn1",RhoGAP5A
3BASE,9606.ENSP00000354006,"10090.ENSMUSP00000037443,10090.ENSMUSP00000082318",7227.FBpp0112395,calcium channel activity,ENSG00000119121,"ENSMUSG00000024727,ENSMUSG00000030523",FBgn0265194,TRPM6,"Trpm6,Trpm1",Trpm
3BASG,9606.ENSP00000358867,"10090.ENSMUSP00000000001,10090.ENSMUSP00000114144","7227.FBpp0076643,7227.FBpp0087359",G-protein beta/gamma-subunit complex binding,ENSG00000065135,"ENSMUSG00000000001,ENSMUSG00000031748","FBgn0001104,FBgn0001122",GNAI3,"Gnai3,Gnao1","Galphai,Galphao"
3BAT7,9606.ENSP00000307863,10090.ENSMUSP00000005041,"7227.FBpp0071961,7227.FBpp0298005",pre-mRNA 3'-splice site binding,ENSG00000063244,ENSMUSG00000030435,"FBgn0034834,FBgn0005411",U2AF2,U2af2,"LS2,U2af50"
3BAT8,9606.ENSP00000400646,10090.ENSMUSP00000020756,7227.FBpp0290103,polyribonucleotide nucleotidyltransferase 1,ENSG00000138035,ENSMUSG00000020464,FBgn0039846,PNPT1,Pnpt1,PNPase
3BATG,9606.ENSP00000264233,"10090.ENSMUSP00000041599,10090.ENSMUSP00000059757","7227.FBpp0076412,7227.FBpp0082131",double-strand break repair via alternative nonhomologous end joining,ENSG00000051341,"ENSMUSG00000035266,ENSMUSG00000034206","FBgn0002899,FBgn0002905",POLQ,"Helq,Polq","mus301,mus308"
3BATM,9606.ENSP00000265085,"10090.ENSMUSP00000118723,10090.ENSMUSP00000130921",7227.FBpp0303905,translation regulator activity,ENSG00000113742,"ENSMUSG00000039652,ENSMUSG00000039782",FBgn0264307,CPEB4,"Cpeb3,Cpeb2",orb2
3BAU5,9606.ENSP00000440984,10090.ENSMUSP00000022196,7227.FBpp0290745,anterograde synaptic vesicle transport,ENSG00000103723,ENSMUSG00000021686,FBgn0003210,AP3B2,Ap3b1,rb
3BAU7,9606.ENSP00000292408,"10090.ENSMUSP00000005452,10090.ENSMUSP00000085122","7227.FBpp0082970,7227.FBpp0084248",fibroblast growth factor-activated receptor activity,ENSG00000160867,"ENSMUSG00000005320,ENSMUSG00000054252","FBgn0010389,FBgn0022800",FGFR4,"Fgfr4,Fgfr3","htl,Cad96Ca"
3BAUV,"9606.ENSP00000318197,9606.ENSP00000326042,9606.ENSP00000382982","10090.ENSMUSP00000084713,10090.ENSMUSP00000085580","7227.FBpp0081062,7227.FBpp0081153,7227.FBpp0081565,7227.FBpp0082964",structural constituent of cytoskeleton,"ENSG00000152086,ENSG00000075886,ENSG00000198033","ENSMUSG00000067338,ENSMUSG00000067702","FBgn0003885,FBgn0003884,FBgn0003886,FBgn0038565","TUBA3E,TUBA3D,TUBA3C","Tuba3b,Tuba3a","alphaTub84D,alphaTub84B,alphaTub85E,CG7794"
3BAV1,9606.ENSP00000382390,10090.ENSMUSP00000053235,7227.FBpp0075523,NEUZ,ENSG00000215041,ENSMUSG00000047284,FBgn0283503,NEURL4,Neurl4,Neurl4
3BAW5,9606.ENSP00000225577,10090.ENSMUSP00000119715,7227.FBpp0305462,ribosomal protein S6 kinase activity,ENSG00000108443,ENSMUSG00000020516,FBgn0283472,RPS6KB1,Rps6kb1,S6k
3BAW7,9606.ENSP00000407182,10090.ENSMUSP00000133076,"7227.FBpp0076708,7227.FBpp0076711",ribosomal protein import into nucleus,ENSG00000105576,ENSMUSG00000031691,"FBgn0024921,FBgn0035693",TNPO2,Tnpo2,"Tnpo,CG8219"
3BAW9,9606.ENSP00000355904,10090.ENSMUSP00000025906,7227.FBpp0076448,positive regulation of transcription involved in G2/M transition of mitotic cell cycle,ENSG00000196482,ENSMUSG00000024955,FBgn0035849,ESRRG,Esrra,ERR
3BAWC,9606.ENSP00000418397,10090.ENSMUSP00000028807,7227.FBpp0076375,isovaleryl-CoA dehydrogenase activity,ENSG00000128928,ENSMUSG00000027332,FBgn0035911,IVD,Ivd,CG6638
3BAWZ,9606.ENSP00000379836,10090.ENSMUSP00000065254,7227.FBpp0081847,"solute carrier family 30 (zinc transporter), member",ENSG00000145740,ENSMUSG00000054414,FBgn0037875,SLC30A5,Slc30a7,ZnT86D
3BAXN,9606.ENSP00000255977,10090.ENSMUSP00000031985,"7227.FBpp0073752,7227.FBpp0073753,7227.FBpp0074856,7227.FBpp0078038",protein modification by small protein conjugation,ENSG00000133606,ENSMUSG00000029922,"FBgn0030577,FBgn0030578,FBgn0036809,FBgn0029152",MKRN1,Mkrn1,"CG5334,CG5347,CG12477,Mkrn1"
3BAXT,9606.ENSP00000469686,10090.ENSMUSP00000078966,7227.FBpp0078427,negative regulation of CAMKK-AMPK signaling cascade,ENSG00000269858,ENSMUSG00000058709,FBgn0264785,EGLN2,Egln2,Hph
3BAYQ,9606.ENSP00000429633,10090.ENSMUSP00000086034,7227.FBpp0089402,RNA polymerase II transcription regulator recruiting activity,ENSG00000185697,ENSMUSG00000025912,FBgn0002914,MYBL1,Mybl1,Myb
3BAZG,9606.ENSP00000237530,10090.ENSMUSP00000112081,7227.FBpp0088527,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit,ENSG00000118705,ENSMUSG00000027642,FBgn0034277,RPN2,Rpn2,OstDelta
3BB0F,9606.ENSP00000238628,10090.ENSMUSP00000061891,7227.FBpp0289501,intraflagellar transport,ENSG00000119650,ENSMUSG00000007867,FBgn0032446,IFT43,Ift43,CG5780
3BB0N,9606.ENSP00000265388,10090.ENSMUSP00000012679,"7227.FBpp0077399,7227.FBpp0086142",transportin 3,ENSG00000064419,ENSMUSG00000012535,"FBgn0031456,FBgn0034205",TNPO3,Tnpo3,"Tnpo-SR,CG10950"
3BB15,9606.ENSP00000384792,"10090.ENSMUSP00000068516,10090.ENSMUSP00000103825",7227.FBpp0305221,Mitogen-activated protein kinase binding protein 1,ENSG00000075702,"ENSMUSG00000033902,ENSMUSG00000037020",FBgn0031374,WDR62,"Mapkbp1,Wdr62",Wdr62
3BB1A,"9606.ENSP00000250244,9606.ENSP00000388996",10090.ENSMUSP00000003117,7227.FBpp0081592,endosome to melanosome transport,"ENSG00000129354,ENSG00000072958",ENSMUSG00000003033,FBgn0024833,"AP1M2,AP1M1",Ap1m1,AP-1mu
3BB1B,9606.ENSP00000470142,10090.ENSMUSP00000075089,7227.FBpp0073433,Regulator of nonsense transcripts,ENSG00000005007,ENSMUSG00000058301,FBgn0030354,UPF1,Upf1,Upf1
